customer_id,customer_name,email,segment,region,signup_date,is_vip
C00001,演示客户-00001,customer00001@example.invalid,小微企业,东北,2025-12-06,false
C00002,演示客户-00002,customer00002@example.invalid,小微企业,华北,2025-11-03,false
C00003,演示客户-00003,customer00003@example.invalid,中型企业,东北,2023-05-01,false
C00004,演示客户-00004,customer00004@example.invalid,中型企业,西南,2025-11-24,false
C00005,演示客户-00005,customer00005@example.invalid,个人,华南,2024-06-12,false
C00006,演示客户-00006,customer00006@example.invalid,战略客户,华南,2023-10-02,false
C00007,演示客户-00007,customer00007@example.invalid,小微企业,华东,2024-04-14,false
C00008,演示客户-00008,customer00008@example.invalid,个人,东北,2024-03-16,false
C00009,演示客户-00009,customer00009@example.invalid,个人,西南,2025-11-20,false
C00010,演示客户-00010,customer00010@example.invalid,小微企业,华东,2025-11-06,false
C00011,演示客户-00011,customer00011@example.invalid,个人,东北,2023-10-03,false
C00012,演示客户-00012,customer00012@example.invalid,个人,西南,2023-07-04,false
C00013,演示客户-00013,customer00013@example.invalid,个人,华东,2023-09-12,false
C00014,演示客户-00014,customer00014@example.invalid,个人,华东,2023-08-02,false
C00015,演示客户-00015,customer00015@example.invalid,个人,西南,2025-06-17,false
C00016,演示客户-00016,customer00016@example.invalid,个人,华北,2024-05-27,false
C00017,演示客户-00017,customer00017@example.invalid,个人,东北,2025-08-12,true
C00018,演示客户-00018,customer00018@example.invalid,个人,华东,2023-05-19,false
C00019,演示客户-00019,customer00019@example.invalid,中型企业,华东,2023-02-21,false
C00020,演示客户-00020,customer00020@example.invalid,战略客户,西南,2025-08-07,false
C00021,演示客户-00021,customer00021@example.invalid,个人,东北,2025-10-06,false
C00022,演示客户-00022,customer00022@example.invalid,个人,华南,2025-04-11,false
C00023,演示客户-00023,customer00023@example.invalid,个人,华东,2024-07-25,false
C00024,演示客户-00024,customer00024@example.invalid,中型企业,华北,2025-01-06,false
C00025,演示客户-00025,customer00025@example.invalid,中型企业,华南,2025-10-16,false
C00026,演示客户-00026,customer00026@example.invalid,个人,华东,2025-07-23,false
C00027,演示客户-00027,customer00027@example.invalid,个人,华南,2024-08-23,false
C00028,演示客户-00028,customer00028@example.invalid,个人,东北,2023-06-08,false
C00029,演示客户-00029,customer00029@example.invalid,个人,西南,2024-02-16,false
C00030,演示客户-00030,customer00030@example.invalid,小微企业,东北,2026-03-01,false
C00031,演示客户-00031,customer00031@example.invalid,中型企业,西南,2023-09-16,false
C00032,演示客户-00032,customer00032@example.invalid,小微企业,东北,2024-07-09,false
C00033,演示客户-00033,customer00033@example.invalid,个人,华南,2025-07-24,false
C00034,演示客户-00034,customer00034@example.invalid,中型企业,华东,2023-10-09,true
C00035,演示客户-00035,customer00035@example.invalid,个人,华东,2024-07-07,false
C00036,演示客户-00036,customer00036@example.invalid,个人,华北,2024-01-24,false
C00037,演示客户-00037,customer00037@example.invalid,个人,华东,2025-09-05,false
C00038,演示客户-00038,customer00038@example.invalid,小微企业,华南,2023-06-07,false
C00039,演示客户-00039,customer00039@example.invalid,个人,东北,2026-01-02,false
C00040,演示客户-00040,customer00040@example.invalid,中型企业,东北,2023-10-20,false
C00041,演示客户-00041,customer00041@example.invalid,个人,东北,2024-04-13,false
C00042,演示客户-00042,customer00042@example.invalid,个人,华北,2023-09-27,false
C00043,演示客户-00043,customer00043@example.invalid,小微企业,东北,2025-11-28,false
C00044,演示客户-00044,customer00044@example.invalid,小微企业,华东,2025-03-31,false
C00045,演示客户-00045,customer00045@example.invalid,个人,华南,2025-06-09,false
